87|86,86|87.86,126
87|86,77|87.86,131
87|86,97|87.86,115
87|86,88|87.86,116
96|97,86|96.97,124
96|97,97|96.97,93
96|97,95|96.97,104
96|97,6|96.97,113
96|6,86|96.6,120
96|6,95|96.6,137
96|6,97|96.6,121
96|6,6|96.6,135
78|68,77|78.68,140
78|68,68|78.68,130
78|68,79|78.68,117
78|68,88|78.68,145
78|79,77|78.79,129
78|79,68|78.79,132
78|79,88|78.79,115
78|79,79|78,106
87|88,77|87.88,97
87|88,88|87.88,128
87|88,86|87.88,118
87|88,97|87.88,102
87|97,77|87.97,115
87|97,97|87.97,130
87|97,86|87.97,101
87|97,88|87.97,112
76|86,77|76.86,120
76|86,66|76.86,116
76|86,75|76.86,123
76|86,86|76.86,115
85|95,75|85.95,129
85|95,84|85.95,119
85|95,86|85.95,105
85|95,95|85.95,111
85|86,75|85.86,119
85|86,84|85.86,119
85|86,95|85.86,107
85|86,86|85.86,125
85|84,75|85.84,140
85|84,84|85.84,135
85|84,86|85.84,109
85|84,95|85.84,122
74|64,75|74.64,159
74|64,84|74.64,114
74|64,64|74.64,121
74|64,73|74.64,122
65|75,75|65.75,112
65|75,66|65.75,106
65|75,64|65.75,128
65|75,55|65.75,120
65|64,75|65.64,134
65|64,55|65.64,133
65|64,64|65.64,135
65|64,66|65.64,121
55|54,65|55.54,137
55|54,56|55.54,138
55|54,54|55.54,114
55|54,45|55.54,123
55|56,65|55.56,130
55|56,56|55.56,121
55|56,45|55.56,123
55|56,54|55,134
64|74,65|64.74,120
64|74,54|64.74,122
64|74,74|64.74,125
64|74,63|64.74,142
64|65,65|64.65,131
64|65,74|64.65,130
64|65,54|64.65,119
64|65,63|64.65,130
64|63,65|64.63,142
64|63,74|64.63,134
64|63,54|64.63,154
64|63,63|64.63,137
46|45,56|46.45,136
46|45,45|46.45,137
46|45,47|46.45,97
46|45,36|46.45,119
46|36,56|46.36,138
46|36,45|46.36,115
46|36,47|46.36,103
46|36,36|46,92
75|65,76|75.65,126
75|65,74|75.65,113
75|65,85|75.65,129
75|65,65|75,108
56|66,55|56.66,128
56|66,46|56.66,127
56|66,57|56.66,135
56|66,66|56.66,109
56|46,55|56.46,131
56|46,66|56.46,118
56|46,57|56.46,136
56|46,46|56.46,105
56|55,55|56.55,134
56|55,66|56.55,139
56|55,46|56.55,143
56|55,57|56.55,124
65|55,55|65.55,129
65|55,64|65.55,135
65|55,75|65.55,129
65|55,66|65.55,108
65|66,55|65.66,136
65|66,66|65.66,103
65|66,64|65.66,111
65|66,75|65,100
54|53,55|54.53,127
54|53,64|54.53,115
54|53,44|54.53,137
54|53,53|54.53,122
54|44,55|54.44,138
54|44,64|54.44,134
54|44,53|54.44,116
54|44,44|54.44,117
54|55,55|54.55,128
54|55,64|54.55,117
54|55,53|54.55,132
54|55,44|54.55,126
45|35,55|45.35,140
45|35,44|45.35,104
45|35,35|45.35,105
45|35,46|45.35,119
45|46,55|45.46,127
45|46,44|45.46,138
45|46,46|45.46,120
45|46,35|45.46,108
45|55,55|45.55,129
45|55,44|45.55,128
45|55,35|45.55,126
45|55,46|45.55,125
67|66,66|67.66,129
67|66,68|67.66,122
67|66,57|67.66,126
67|66,77|67.66,111
56|57,66|56.57,117
56|57,55|56.57,118
56|57,46|56.57,135
56|57,57|56.57,123
74|84,64|74.84,117
74|84,75|74.84,109
74|84,73|74.84,130
74|84,84|74.84,127
74|75,64|74.75,126
74|75,75|74.75,117
74|75,84|74.75,118
74|75,73|74,104
74|73,64|74.73,145
74|73,75|74.73,106
74|73,84|74.73,125
74|73,73|74.73,128
63|64,64|63.64,139
63|64,53|63.64,128
63|64,73|63.64,115
63|64,62|63.64,144
63|62,64|63.62,147
63|62,53|63.62,143
63|62,73|63.62,126
63|62,62|63.62,147
63|73,64|63.73,129
63|73,53|63.73,131
63|73,62|63.73,123
63|73,73|63.73,95
54|64,64|54.64,140
54|64,44|54.64,138
54|64,53|54.64,128
54|64,55|54.64,118
55|45,65|55.45,122
55|45,54|55.45,121
55|45,56|55.45,140
55|45,45|55.45,144
64|54,65|64.54,131
64|54,54|64.54,128
64|54,63|64.54,120
64|54,74|64,124
44|45,54|44.45,131
44|45,45|44.45,122
44|45,43|44.45,124
44|45,34|44.45,131
44|54,54|44.54,122
44|54,43|44.54,124
44|54,45|44.54,130
44|54,34|44.54,142
44|43,54|44.43,111
44|43,43|44.43,127
44|43,45|44.43,143
44|43,34|44.43,111
44|34,54|44.34,138
44|34,45|44.34,119
44|34,43|44.34,100
44|34,34|44.34,113
53|63,54|53.63,130
53|63,63|53.63,124
53|63,52|53.63,152
53|63,43|53.63,118
53|52,54|53.52,136
53|52,63|53.52,146
53|52,52|53.52,146
53|52,43|53.52,131
53|43,54|53.43,120
53|43,63|53.43,134
53|43,52|53.43,139
53|43,43|53.43,132
55|65,54|55.65,135
55|65,45|55.65,125
55|65,65|55.65,115
55|65,56|55.65,139
46|56,56|46.56,119
46|56,45|46.56,118
46|56,36|46.56,133
46|56,47|46.56,141
35|34,45|35.34,121
35|34,36|35.34,129
35|34,25|35.34,114
35|34,34|35.34,107
35|45,45|35.45,119
35|45,34|35.45,113
35|45,36|35.45,104
35|45,25|35.45,119
46|47,45|46.47,125
46|47,47|46.47,113
46|47,36|46.47,112
46|47,56|46.47,99
63|53,64|63.53,153
63|53,62|63.53,132
63|53,53|63.53,127
63|53,73|63.53,118
45|44,44|45.44,138
45|44,46|45.44,125
45|44,55|45.44,135
45|44,35|45.44,115
43|33,44|43.33,134
43|33,53|43.33,145
43|33,42|43.33,121
43|33,33|43.33,111
34|35,44|34.35,122
34|35,35|34.35,98
34|35,24|34.35,106
34|35,33|34.35,122
34|44,44|34.44,122
34|44,33|34.44,126
34|44,35|34.44,119
34|44,24|34.44,128
34|24,44|34.24,111
34|24,33|34.24,120
34|24,24|34.24,134
34|24,35|34.24,119
43|42,53|43.42,134
43|42,44|43.42,121
43|42,42|43.42,142
43|42,33|43.42,124
52|51,53|52.51,140
52|51,62|52.51,155
52|51,51|52.51,138
52|51,42|52.51,130
52|42,53|52.42,151
52|42,62|52.42,148
52|42,51|52.42,131
52|42,42|52.42,131
52|62,53|52.62,135
52|62,62|52.62,133
52|62,51|52.62,133
52|62,42|52.62,146
84|85,74|84.85,122
84|85,83|84.85,135
84|85,94|84.85,138
84|85,85|84.85,121
84|83,74|84.83,122
84|83,94|84.83,142
84|83,83|84.83,112
84|83,85|84.83,121
84|74,74|84.74,131
84|74,83|84.74,116
84|74,94|84.74,118
84|74,85|84.74,119
73|63,74|73.63,106
73|63,72|73.63,114
73|63,83|73.63,101
73|63,63|73.63,133
73|72,74|73.72,125
73|72,63|73.72,117
73|72,72|73.72,131
73|72,83|73.72,136
53|54,54|53.54,117
53|54,63|53.54,131
53|54,52|53.54,110
53|54,43|53.54,139
62|52,63|62.52,146
62|52,72|62.52,153
62|52,61|62.52,132
62|52,52|62.52,147
62|61,63|62.61,140
62|61,72|62.61,156
62|61,61|62.61,139
62|61,52|62.61,139
73|74,63|73.74,127
73|74,83|73.74,123
